Province,Visitors,Workers,Unemployment,Revenue,Tourism
Aceh,741049,469,103898,11491.83,28
Sumatera Utara,3057775,2032,312122,77053.59,163
Sumatera Barat,2129323,969,109468,38105.44,64
Riau,640704,438,127295,12788.18,42
Jambi,306119,175,54256,3265.08,12
Sumatera Selatan,785252,438,166111,17234.75,29
Bengkulu,258222,309,23398,4529.12,23
Lampung,626132,319,142357,13849.14,36
Kep. Bangka Belitung,1064913,472,22974,13075.53,40
Kepulauan Riau,302024,139,85283,14621.75,16
DKI Jakarta,4467061,3308,284010,330083.76,118
Jawa Barat,10713306,6953,1499233,267602.87,414
Jawa Tengah,36587512,7757,632079,320052.58,356
DI Yogyakarta,7599627,3969,41427,155870.25,170
Jawa Timur,9989713,7003,623647,271017.84,408
Banten,1148595,659,408508,38458.08,110
Bali,3417668,3622,65521,232455.88,188
Nusa Tenggara Barat,766935,696,62634,18791.19,43
Nusa tenggara Timur,130001,235,57695,10706.7,22
Kalimantan Barat,326880,321,109540,8498.1,17
Kalimantan Tengah,490353,469,33429,10527.48,38
Kalimantan Selatan,272441,324,81350,13123.61,21
Kalimantan Timur,152578,191,81251,6708,19
Kalimantan Utara,169609,73,10953,879.55,10
Sulawesi Utara,239996,230,48828,10764.28,18
Sulawesi Tengah,111553,165,36605,3591.25,15
Sulawesi Selatan,1402591,605,157678,30311.13,48
Sulawesi Tenggara,265570,146,40652,2885.31,16
Gorontalo,169378,81,16238,2236.46,7
Sulawesi Barat,96914,165,19588,1321.62,21
Maluku,159971,85,36407,2471.12,13
Maluku Utara,43244,87,19139,4217.33,5
Papua Barat,59862,66,17150,1666.32,10
Papua,1928274,145,40035,3471.18,23
